* This is the BiomeMobWeight report file that is output every time the server starts.,RESTART GAME FOR CHANGES TO TAKE EFFECT,,NEGATIVE WEIGHT = NO SPAWN,SERVERCORE CONFIG FOR MOB CATEGORY CAPS,,,
4945, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
4946, forest, minecraft:old_growth_birch_forest, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
4947, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
4948, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
4949, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
4950, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
4951, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
4952, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
4953, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
4954, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
4955, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
4956, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:swarmer,11,1,1
4957, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
4958, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
4959, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
4960, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
4961, forest, minecraft:old_growth_birch_forest, CREATURE, minecraft:sheep,12,4,4
4962, forest, minecraft:old_growth_birch_forest, CREATURE, minecraft:chicken,10,4,4
4963, forest, minecraft:old_growth_birch_forest, CREATURE, minecraft:cow,8,4,4
4964, forest, minecraft:old_growth_birch_forest, CREATURE, naturalist:bear,10,1,2
4965, forest, minecraft:old_growth_birch_forest, CREATURE, naturalist:boar,10,3,4
4966, forest, minecraft:old_growth_birch_forest, CREATURE, naturalist:butterfly,10,3,6
4967, forest, minecraft:old_growth_birch_forest, CREATURE, naturalist:cardinal,7,3,4
4968, forest, minecraft:old_growth_birch_forest, CREATURE, naturalist:deer,10,3,5
4969, forest, minecraft:old_growth_birch_forest, CREATURE, naturalist:finch,7,3,4
4970, forest, minecraft:old_growth_birch_forest, CREATURE, minecraft:fox,10,1,2
4971, forest, minecraft:old_growth_birch_forest, CREATURE, minecraft:rabbit,10,2,3
4972, forest, minecraft:old_growth_birch_forest, CREATURE, naturalist:lizard,10,1,1
4973, forest, minecraft:old_growth_birch_forest, CREATURE, naturalist:robin,7,3,4
4974, forest, minecraft:old_growth_birch_forest, CREATURE, naturalist:snail,10,2,3
4975, forest, minecraft:old_growth_birch_forest, CREATURE, naturalist:snake,10,1,1
4976, forest, minecraft:old_growth_birch_forest, CREATURE, crittersandcompanions:ferret,7,2,3
4977, forest, minecraft:old_growth_birch_forest, CREATURE, crittersandcompanions:jumping_spider,10,1,1
4978, forest, minecraft:old_growth_birch_forest, CREATURE, alexsmobs:grizzly_bear,8,2,3
4979, forest, minecraft:old_growth_birch_forest, CREATURE, alexsmobs:raccoon,10,2,4
4980, forest, minecraft:old_growth_birch_forest, CREATURE, alexsmobs:crow,10,3,5
4981, forest, minecraft:old_growth_birch_forest, CREATURE, alexsmobs:tasmanian_devil,10,1,2
4982, forest, minecraft:old_growth_birch_forest, CREATURE, alexsmobs:sugar_glider,15,2,4
4983, forest, minecraft:old_growth_birch_forest, CREATURE, alexsmobs:skunk,7,1,2
4984, forest, minecraft:old_growth_birch_forest, CREATURE, alexsmobs:blue_jay,16,2,4
4985, forest, minecraft:old_growth_birch_forest, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
4986, forest, minecraft:old_growth_birch_forest, AMBIENT, minecraft:bat,10,8,8
4987, forest, minecraft:old_growth_birch_forest, AMBIENT, naturalist:firefly,10,2,4
4988, forest, minecraft:old_growth_birch_forest, AMBIENT, crittersandcompanions:leaf_insect,14,1,1
4989, forest, minecraft:old_growth_birch_forest, AMBIENT, alexsmobs:fly,3,2,3
4990, forest, minecraft:old_growth_birch_forest, AMBIENT, alexsmobs:cockroach,4,5,5
4991, forest, minecraft:old_growth_birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
4992, forest, minecraft:old_growth_birch_forest, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
4993, forest, minecraft:old_growth_birch_forest, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
4994, forest, minecraft:old_growth_birch_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish,23,5,12
4995, forest, minecraft:old_growth_birch_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
4996, forest, minecraft:old_growth_birch_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
4997, forest, minecraft:old_growth_birch_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
4998, forest, minecraft:old_growth_birch_forest, WATER_AMBIENT, aquaculture:catfish,1,1,1
4999, forest, minecraft:old_growth_birch_forest, WATER_AMBIENT, aquaculture:gar,6,1,2
5000, forest, minecraft:old_growth_birch_forest, WATER_AMBIENT, aquaculture:minnow,18,1,5
5001, forest, minecraft:old_growth_birch_forest, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
5002, forest, minecraft:old_growth_birch_forest, WATER_AMBIENT, aquaculture:perch,20,1,6
5003, forest, minecraft:old_growth_birch_forest, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
5004, forest, minecraft:old_growth_birch_forest, rascals, friendsandfoes:rascal,4,1,1
5005, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:spider,100,4,4
5006, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:zombie,100,4,4
5007, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:zombie_villager,25,1,1
5008, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:skeleton,100,4,4
5009, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:slime,100,4,4
5010, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:enderman,10,1,4
5011, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:witch,5,1,1
5012, taiga, minecraft:old_growth_pine_taiga, MONSTER, alexsmobs:centipede_head,8,1,1
5013, taiga, minecraft:old_growth_pine_taiga, MONSTER, alexsmobs:farseer,30,1,1
5014, taiga, minecraft:old_growth_pine_taiga, MONSTER, alexsmobs:murmur,5,1,1
5015, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
5016, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
5017, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
5018, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
5019, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
5020, taiga, minecraft:old_growth_pine_taiga, MONSTER, creeperoverhaul:cave_creeper,75,2,2
5021, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
5022, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
5023, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
5024, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
5025, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
5026, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:door_knight,13,1,1
5027, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
5028, taiga, minecraft:old_growth_pine_taiga, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
5029, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
5030, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:krampus,2,1,1
5031, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
5032, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
5033, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:missioner,4,1,1
5034, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
5035, taiga, minecraft:old_growth_pine_taiga, MONSTER, mowziesmobs:grottol,2,1,1
5036, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
5037, taiga, minecraft:old_growth_pine_taiga, MONSTER, theinkarena:natural_ink_brute,16,1,3
5038, taiga, minecraft:old_growth_pine_taiga, MONSTER, theinkarena:natural_ink_titan,8,1,2
5039, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
5040, taiga, minecraft:old_growth_pine_taiga, MONSTER, majruszsdifficulty:cursed_armor,30,1,3
5041, taiga, minecraft:old_growth_pine_taiga, MONSTER, majruszsdifficulty:illusioner,8,1,1
5042, taiga, minecraft:old_growth_pine_taiga, MONSTER, majruszsdifficulty:tank,3,1,1
5043, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
5044, taiga, minecraft:old_growth_pine_taiga, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
5045, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
5046, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
5047, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
5048, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
5049, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
5050, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
5051, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
5052, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
5053, taiga, minecraft:old_growth_pine_taiga, MONSTER, creeperoverhaul:spruce_creeper,75,2,2
5054, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
5055, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:swarmer,11,1,1
5056, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
5057, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
5058, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
5059, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
5060, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:sheep,12,4,4
5061, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:pig,10,4,4
5062, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:chicken,10,4,4
5063, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:cow,10,4,4
5064, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:wolf,10,4,4
5065, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:rabbit,4,2,3
5066, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:fox,10,2,4
5067, taiga, minecraft:old_growth_pine_taiga, CREATURE, naturalist:bear,10,1,2
5068, taiga, minecraft:old_growth_pine_taiga, CREATURE, naturalist:bluejay,7,3,4
5069, taiga, minecraft:old_growth_pine_taiga, CREATURE, alexsmobs:grizzly_bear,8,2,3
5070, taiga, minecraft:old_growth_pine_taiga, CREATURE, alexsmobs:raccoon,10,2,4
5071, taiga, minecraft:old_growth_pine_taiga, CREATURE, alexsmobs:crow,10,3,5
5072, taiga, minecraft:old_growth_pine_taiga, CREATURE, alexsmobs:banana_slug,14,2,3
5073, taiga, minecraft:old_growth_pine_taiga, CREATURE, alexsmobs:blue_jay,16,2,4
5074, taiga, minecraft:old_growth_pine_taiga, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
5075, taiga, minecraft:old_growth_pine_taiga, AMBIENT, minecraft:bat,10,8,8
5076, taiga, minecraft:old_growth_pine_taiga, AMBIENT, alexsmobs:fly,3,2,3
5077, taiga, minecraft:old_growth_pine_taiga, AMBIENT, alexsmobs:cockroach,4,5,5
5078, taiga, minecraft:old_growth_pine_taiga, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
5079, taiga, minecraft:old_growth_pine_taiga, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
5080, taiga, minecraft:old_growth_pine_taiga, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
5081, taiga, minecraft:old_growth_pine_taiga, WATER_AMBIENT, alexsmobs:devils_hole_pupfish,23,5,12
5082, taiga, minecraft:old_growth_pine_taiga, WATER_AMBIENT, aquaculture:bluegill,20,1,6
5083, taiga, minecraft:old_growth_pine_taiga, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
5084, taiga, minecraft:old_growth_pine_taiga, WATER_AMBIENT, aquaculture:carp,10,1,3
5085, taiga, minecraft:old_growth_pine_taiga, WATER_AMBIENT, aquaculture:catfish,1,1,1
5086, taiga, minecraft:old_growth_pine_taiga, WATER_AMBIENT, aquaculture:gar,6,1,2
5087, taiga, minecraft:old_growth_pine_taiga, WATER_AMBIENT, aquaculture:minnow,18,1,5
5088, taiga, minecraft:old_growth_pine_taiga, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
5089, taiga, minecraft:old_growth_pine_taiga, WATER_AMBIENT, aquaculture:perch,20,1,6
5090, taiga, minecraft:old_growth_pine_taiga, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
5091, taiga, minecraft:old_growth_pine_taiga, rascals, friendsandfoes:rascal,4,1,1
5092, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:spider,100,4,4
5093, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:zombie,95,4,4
5094, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:zombie_villager,5,1,1
5095, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:skeleton,100,4,4
5096, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:slime,100,4,4
5097, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:enderman,10,1,4
5098, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:witch,5,1,1
5099, taiga, minecraft:old_growth_spruce_taiga, MONSTER, alexsmobs:centipede_head,8,1,1
5100, taiga, minecraft:old_growth_spruce_taiga, MONSTER, alexsmobs:farseer,30,1,1
5101, taiga, minecraft:old_growth_spruce_taiga, MONSTER, alexsmobs:murmur,5,1,1
5102, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
5103, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
5104, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
5105, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
5106, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
5107, taiga, minecraft:old_growth_spruce_taiga, MONSTER, creeperoverhaul:cave_creeper,75,2,2
5108, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
5109, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
5110, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
5111, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
5112, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
5113, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:door_knight,13,1,1
5114, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
5115, taiga, minecraft:old_growth_spruce_taiga, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
5116, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
5117, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:krampus,2,1,1
5118, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
5119, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
5120, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:missioner,4,1,1
5121, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
5122, taiga, minecraft:old_growth_spruce_taiga, MONSTER, mowziesmobs:grottol,2,1,1
5123, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
5124, taiga, minecraft:old_growth_spruce_taiga, MONSTER, theinkarena:natural_ink_brute,16,1,3
5125, taiga, minecraft:old_growth_spruce_taiga, MONSTER, theinkarena:natural_ink_titan,8,1,2
5126, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
5127, taiga, minecraft:old_growth_spruce_taiga, MONSTER, majruszsdifficulty:cursed_armor,30,1,3
5128, taiga, minecraft:old_growth_spruce_taiga, MONSTER, majruszsdifficulty:illusioner,8,1,1
5129, taiga, minecraft:old_growth_spruce_taiga, MONSTER, majruszsdifficulty:tank,3,1,1
5130, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
5131, taiga, minecraft:old_growth_spruce_taiga, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
5132, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
5133, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
5134, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
5135, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
5136, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
5137, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
5138, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
5139, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
5140, taiga, minecraft:old_growth_spruce_taiga, MONSTER, creeperoverhaul:spruce_creeper,75,2,2
5141, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
5142, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:swarmer,11,1,1
5143, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
5144, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
5145, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
5146, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
5147, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:sheep,12,4,4
5148, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:pig,10,4,4
5149, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:chicken,10,4,4
5150, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:cow,10,4,4
5151, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:wolf,10,4,4
5152, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:rabbit,4,2,3
5153, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:fox,10,2,4
5154, taiga, minecraft:old_growth_spruce_taiga, CREATURE, naturalist:bear,10,1,2
5155, taiga, minecraft:old_growth_spruce_taiga, CREATURE, naturalist:bluejay,7,3,4
5156, taiga, minecraft:old_growth_spruce_taiga, CREATURE, alexsmobs:grizzly_bear,8,2,3
5157, taiga, minecraft:old_growth_spruce_taiga, CREATURE, alexsmobs:raccoon,10,2,4
5158, taiga, minecraft:old_growth_spruce_taiga, CREATURE, alexsmobs:crow,10,3,5
5159, taiga, minecraft:old_growth_spruce_taiga, CREATURE, alexsmobs:banana_slug,14,2,3
5160, taiga, minecraft:old_growth_spruce_taiga, CREATURE, alexsmobs:blue_jay,16,2,4
5161, taiga, minecraft:old_growth_spruce_taiga, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
5162, taiga, minecraft:old_growth_spruce_taiga, AMBIENT, minecraft:bat,10,8,8
5163, taiga, minecraft:old_growth_spruce_taiga, AMBIENT, alexsmobs:fly,3,2,3
5164, taiga, minecraft:old_growth_spruce_taiga, AMBIENT, alexsmobs:cockroach,4,5,5
5165, taiga, minecraft:old_growth_spruce_taiga, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
5166, taiga, minecraft:old_growth_spruce_taiga, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
5167, taiga, minecraft:old_growth_spruce_taiga, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
5168, taiga, minecraft:old_growth_spruce_taiga, WATER_AMBIENT, alexsmobs:devils_hole_pupfish,23,5,12
5169, taiga, minecraft:old_growth_spruce_taiga, WATER_AMBIENT, aquaculture:bluegill,20,1,6
5170, taiga, minecraft:old_growth_spruce_taiga, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
5171, taiga, minecraft:old_growth_spruce_taiga, WATER_AMBIENT, aquaculture:carp,10,1,3
5172, taiga, minecraft:old_growth_spruce_taiga, WATER_AMBIENT, aquaculture:catfish,1,1,1
5173, taiga, minecraft:old_growth_spruce_taiga, WATER_AMBIENT, aquaculture:gar,6,1,2
5174, taiga, minecraft:old_growth_spruce_taiga, WATER_AMBIENT, aquaculture:minnow,18,1,5
5175, taiga, minecraft:old_growth_spruce_taiga, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
5176, taiga, minecraft:old_growth_spruce_taiga, WATER_AMBIENT, aquaculture:perch,20,1,6
5177, taiga, minecraft:old_growth_spruce_taiga, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
5178, taiga, minecraft:old_growth_spruce_taiga, rascals, friendsandfoes:rascal,4,1,1
5179, none, blueprint:original_source_marker, MONSTER, alexsmobs:farseer,30,1,1
5180, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
5181, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
5182, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
5183, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
5184, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
5185, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
5186, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
5187, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
5188, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
5189, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
5190, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:door_knight,13,1,1
5191, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
5192, none, blueprint:original_source_marker, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
5193, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
5194, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:krampus,2,1,1
5195, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
5196, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
5197, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:missioner,4,1,1
5198, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
5199, none, blueprint:original_source_marker, MONSTER, mowziesmobs:grottol,2,1,1
5200, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
5201, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
5202, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
5203, none, blueprint:original_source_marker, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
5204, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
5205, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
5206, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
5207, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
5208, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
5209, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
5210, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
5211, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
5212, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
5213, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:swarmer,11,1,1
5214, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
5215, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
5216, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
5217, none, blueprint:original_source_marker, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
5218, none, blueprint:original_source_marker, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
